german,rus
ich,я
sie,она
das,а
ist,является
du,ты
nicht,нет
die,а
es,это
und,и
der,а
wir,мы
was,Что
zu,к
er,он
ein,а
in,в
ja,Да
mir,мне
mit,с
wie,Как
den,а
mich,мне
auf,на
dass,что
aber,но
eine,один
so,так
hat,имеет
hier,здесь
haben,иметь
für,для
sind,являются
war,был
von,от
wenn,если
dich,ты
ihr,ее
nein,нет
habe,иметь
an,в
bin,являюсь
noch,все еще
nur,только
da,там
dir,тебе
sich,сам
einen,а
uns,нас
hast,иметь
dem,в
kann,может
gut,хороший
auch,также
schon,уже
als,как
sein,быть
mal,только
jetzt,сейчас
ihn,ему
dann,затем
aus,снаружи
meine,думать
um,вокруг
im,в
wird,становится
mein,мой
bist,ты
doch,но
alles,все
weiß,белый
keine,нет
oder,или
nach,после
s,С
nichts,ничего
man,мужчина
muss,должен
werden,становиться
will,хотеть
ihnen,их
geht,идет
wo,где
etwas,что-нибудь
oh,Ой
mehr,более
bei,в
also,так
bitte,пожалуйста
immer,всегда
hab,иметь
warum,Почему
vor,до
los,Ну давай же
können,может
wieder,снова
sagen,сказать
machen,делать
danke,Спасибо
sehr,очень
alle,все
denn,затем
mann,мужчина
tun,делать
ihm,ему
zum,для
gehen,идти
sehen,видеть
vielleicht,возможно
einem,а
wer,ВОЗ
ihre,ее
diese,этот
euch,ты
einer,один
komm,приходить
über,выше
gibt,дает
okay,ХОРОШО
wissen,знание
deine,твой
müssen,должен
soll,должен
werde,становиться
nie,никогда
wirklich,Действительно
hey,привет
kein,нет
viel,много
weg,прочь
würde,бы
tut,делает
am,в
des,из
einfach,просто
leben,жизнь
hatte,имел
zeit,время
weil,потому что
willst,хотеть
kommen,приходить
dein,твой
heute,сегодня
kommt,приходит
wollen,хотеть
damit,с этим
ganz,довольно
wäre,были
wollte,в розыске
weißt,белый
ok,ХОРОШО
sicher,безопасный
gesagt,сказал
frau,женщина
nun,так
bis,до
wurde,стал
leid,печаль
na,n / a
kannst,может
macht,мощь
dieser,этот
zurück,возвращаться
lassen,разрешать
hallo,Привет
meinen,думать
gott,Бог
seine,его
hätte,имел
zwei,два
könnte,мог
genau,Точно
waren,были
zur,в
lass,позволять
klar,прозрачный
morgen,утро
leute,люди
vater,отец
schön,хороший
glaube,полагать
mr.,Мистер.
ab,прочь
gerade,прямой
tag,День
gesehen,видимый
reden,разговаривать
wohl,вероятно
liebe,любовь
sollte,должен
sagte,сказал
unsere,наш
jemand,кто-то
geld,деньги
durch,через
ob,если
keinen,нет
mutter,мать
raus,вне
gemacht,сделал
paar,пара
mach,делать
passiert,случается
dachte,мысль
besser,лучше
musst,должен
wieso,почему
sir,сэр
dieses,этот
selbst,себя
gehört,слышал
möchte,хотел бы
ohne,без
hör,прослушивание
her,от
sag,сказать
meiner,мой
anderen,другие
helfen,помощь
nacht,ночь
finden,находить
diesen,этот
gute,хороший
wirst,становиться
lange,тоска
natürlich,естественно
ach,Ой
meinem,мой
gar,даже
ins,в
sei,может быть
dort,там
weiter,дальше
geben,давать
seit,с
gleich,даже
sagt,говорит
recht,верно
ihren,твой
richtig,правильный
ordnung,заказ
vom,из
hören,слышать
sieht,видит
"davon,""того, что"""
dafür,для этого
geh,ходить
diesem,этот
wegen,из-за
hause,дом
sollten,должен
mädchen,девочка
hin,там
sollen,должен
abend,вечер
haus,дом
denke,думать
viele,много
drei,три
deinen,Ваш
freund,друг
guten,хороший
unser,наш
warte,ждать
machst,делать
menschen,люди
essen,есть
angst,страх
bleiben,оставаться
zusammen,вместе
welt,мир
unter,под
habt,иметь
schnell,быстрый
andere,другой
tot,мертвый
getan,делал
darf,может
erst,первый
rein,чистый
stimmt,верно
nehmen,брать
kinder,дети
eines,один
glauben,полагать
bringen,приносить
ganze,весь
genug,достаточно
scheiße,Ебать
brauchen,нуждаться
gegen,против
moment,мгновенный
junge,молодой
steht,настоив
sonst,в противном случае
musik,музыка
arbeit,работа
seid,являются
ihrer,от их
fragen,вопросы
herr,Мистер
dabei,Включен
heißt,называется
familie,семья
warten,ждать
niemand,никто
sofort,немедленно
bevor,до
jahre,годы
einmal,один раз
problem,проблема
sohn,сын
wann,Когда
brauche,нуждаться
fertig,полный
halt,только
allein,один
beim,в
sprechen,говорить
beide,оба
gefunden,найденный
hatten,имел
sache,иметь значение
hilfe,помощь
verdammt,проклятый
ne,северо -восточный
jeder,каждый
warst,существа
gern,с радостью
konnte,мог
darüber,об этом
halten,держать
siehst,видеть
verstehe,понимать
jahren,годы
kam,пришел
kind,ребенок
wusste,знал
wahr,истинный
seinen,его
dazu,кроме того
bruder,брат
daran,к этому
ihrem,ее
denken,думать
könnten,мощь
dank,благодаря
würden,бы
lieber,Дорогой
fall,случай
deiner,Ваш
sehe,видеть
egal,не имеет значения
kennen,знать
deinem,Ваш
vergessen,забывать
frage,просить
mache,делать
komme,приходить
sage,легенда
mag,нравиться
sieh,видеть
echt,Действительно
gib,давать
eigentlich,на самом деле
jeden,каждый
dad,папа
gab,отдал
uhr,Часы
stadt,город
männer,Мужчины
baby,младенец
fahren,водить машину
namen,имена
bekommen,получать
kopf,голова
hi,Привет
gehe,идти
kleine,маленький
später,позже
glück,счастье
letzte,последний
freunde,друзья
n,не
all,Аллес
darauf,в теме
ende,конец
dr.,Доктор
bald,скоро
töten,убийство
dinge,вещи
meinst,иметь в виду
toll,Большой
eins,один
minuten,минута
vielen,много
bereit,готовый
weit,далеко
ahnung,идея
seiner,его
bisschen,немного
tür,дверь
auto,автомобиль
jungs,ребята
eure,твой
augen,глаза
polizei,полиция
stehen,стоять
sterben,умереть
hätten,иметь
draußen,снаружи
kenne,знать
fast,около
runter,вниз
vorbei,над
treffen,встретиться
gerne,с радостью
dran,твой ход
wurden,стал
arbeiten,работа
mom,мама
verrückt,сумасшедший
neue,новый
ging,шел
hinter,позади
sorgen,заботиться о
einzige,только
jemanden,кто-то
darum,поэтому
tochter,дочь
braucht,потребности
idee,идея
schwester,сестра
drin,в этом
ruhig,тихий
sah,пила
ganzen,весь
spät,поздно
ziemlich,довольно
solltest,должен
name,Фамилия
sogar,даже
kurz,короткий
kerl,Парень
frauen,женщины
liegt,ложь
suchen,искать
finde,находить
je,всегда
woher,откуда
lang,длинный
job,работа
keiner,никто
seinem,его
hört,слышать
verstehen,понимать
spielen,играть
s.,с
überhaupt,совсем
teufel,дьявол
verstanden,понял
verloren,потерянный
große,размер
hand,рука
grund,земля
jahr,год
kommst,приходить
mama,Мама
ruhe,тихий
gewesen,был
tod,смерть
stunden,часы
hoffe,надеяться
denkst,мышление
oben,выше
gestern,вчера
versuchen,пытаться
art,добрый
letzten,последний
schatz,сокровище
endlich,окончательно
he,привет
nimm,брать
etwa,примерно
erzählt,сказал
läuft,пробеги
schwer,трудный
anders,другой
miss,скучать
musste,должен был
fünf,пять
wasser,вода
lässt,листья
erste,первый
versucht,пытался
gekommen,пришел
geschichte,история
wenig,немного
holen,принести
bedeutet,означает
nett,добрый
wahrheit,правда
woche,неделя
bringt,приносит
deshalb,по этой причине
welche,который
bestimmt,конечно
hoch,высокий
alter,возраст
sagst,сказать
schau,смотреть
ah,ах
land,страна
zimmer,комната
wagen,машина 
vier,четыре
gefallen,пожалуйста
spaß,веселье
niemals,никогда
schuld,вина
getötet,убитый
wollten,хотеть
verlassen,оставлять
zeigen,показывать
beste,лучший
ernst,серьезный
unserer,наш
denen,кому
ort,расположение
bleibt,останки
würdest,бы
manchmal,иногда
glaubst,полагать
seite,страница
lasst,листья
zwischen,между
eben,даже
während,пока
spiel,игра
nehme,брать
ersten,первый
guter,товары
chance,шанс
freundin,Подруга
krieg,война
gefällt,угодно
kleinen,маленький
erzählen,рассказывать
anderes,другой
tage,дни
entschuldigen,извинение
wichtig,важный
gehst,гулять пешком
allen,все
bett,кровать
mrs.,Миссис.
sachen,вещи
the,а
schlecht,плохой
schule,школа
entschuldigung,извинение
wort,слово
john,Джон
hättest,будет иметь
wären,быть
typ,Тип
schlafen,спать
äh,ах
tu,Ту
euer,твой
captain,капитан
gesicht,лицо
falls,если
neuen,новый
bloß,только
unten,ниже
teil,часть
beiden,оба
mensch,человек
kleiner,меньше
stellen,место
oft,часто
sorge,беспокоиться
gedacht,мысль
"tust,""то, что"""
trinken,напиток
einige,некоторый
dies,этот
ding,вещь
unseren,наш
kriegen,получать
blut,кровь
ehrlich,честный
eltern,родители
scheint,появляется
herz,сердце
jack,Джек
glücklich,счастливый
alte,старый
alt,старый
bleib,оставаться
wiedersehen,воссоединить
frei,бесплатно
wen,кому
drauf,в теме
möglich,возможный
irgendwie,как-то
reicht,Достаточно
fest,твердо
besten,лучший
waffe,оружие
kaum,едва
irgendwas,что-либо
klingt,звуки
platz,место
brauchst,потребности
rede,речь
papa,отец
falsch,неверный
sondern,скорее
alten,старый
nummer,число
früher,ранее
jungen,мальчики
wohin,куда
außer,кроме
früh,рано
setzen,набор
zuerst,первый
wahrscheinlich,вероятно
dürfen,может
jede,каждый
arsch,жопа
telefon,телефон
tue,делать
kennst,знать
willkommen,добро пожаловать
plan,план
großen,огромный
retten,спасать
hierher,здесь
wär,было бы
bring,приносить
fehler,ошибка
wollt,хотеть
dollar,доллар
zehn,десять
allem,все
pass,заграничный пасспорт
nächste,следующий
stunde,час
hände,Руки
gegeben,данный
menge,толпа
langsam,медленный
bereits,уже
wartet,ожидающий
sechs,шесть
lieben,любовь
meines,мой
büro,офис
nächsten,следующий
gebe,подарок
wochen,недели
ruf,вызов
schaffen,создавать
leider,к сожалению
scheiß,дерьмо
hölle,ад
trotzdem,Несмотря на это
doktor,врач
tja,хорошо
new,новый
voll,полный
film,Фильм
überall,общий
hund,собака
geworden,становиться
direkt,прямой
wolltest,в розыске
tat,делал
denkt,думает
schiff,корабль
neues,новый
wem,кому
könig,король
danach,После этого
funktioniert,функции
hattest,ненавидеть
lernen,учиться
deswegen,из-за этого
wow,Ух ты
nennen,назвать
hm,Хм
feuer,огонь
laufen,бегать
alleine,один
erinnern,помнить
völlig,в полной мере
kleines,маленький
könnt,может
stelle,Работа
kumpel,Чувак
verlieren,терять
probleme,проблемы
spricht,говорит
kaffee,кофе
luft,воздух
fand,найденный
i,я
entschuldige,извинение
ziehen,тянуть
verschwinden,пропадать
könntest,мощь
seht,смотреть
aufhören,останавливаться
eigenen,собственный
richtige,правильный
unserem,наш
suche,искать
zwar,то есть
groß,большой
hol,лоб
buch,книга
krank,больной
fühle,чувствовать
jedes,каждый
verstehst,понимать
